index,text,duration
178,"            assert not is_left_recursive(node, rules)\n",0.020511875
179,"            rule_types[ref] = RuleType.NULLABLE\n",0.025094625
180,"        elif is_left_recursive(node, rules):\n",0.033866583
181,"            rule_types[ref] = RuleType.LEFT_RECURSIVE\n",0.025185916
182,"        else:\n",0.010224458
183,"            rule_types[ref] = RuleType.NORMAL\n",0.0224085
184,"    return rule_types\n",0.021765333
185,"\n",0.001158625
186,"\n",0.001050458
187,"def iter_nodes(node: Node) -> Iterable[Node]:\n",0.015543875
188,"    yield node\n",0.006708
189,"    match node:\n",0.0056105
190,"        case Seq(children) | Choice(children):\n",0.009252292
191,"            for child in children:\n",0.010534292
192,"                yield from iter_nodes(child)\n",0.014558584
193,"        case Repeat1(child):\n",0.014023166
194,"            yield from iter_nodes(child)\n",0.013922709
195,"        case EpsExternal(_) | Term(_) | Ref(_):\n",0.014060625
196,"            pass\n",0.006709542
197,"        case Lookahead(child):\n",0.010443333
198,"            yield from iter_nodes(child)\n",0.013196291
199,"        case _:\n",0.006453916
200,"            raise ValueError(f""Unknown node type: {type(node)}"")\n",0.016111084
201,"\n",0.001595083
202,"def validate_rules(rules: dict[Ref, Node]) -> None:\n",0.029133417
203,"    for ref, node in rules.items():\n",0.012361834
204,"        for child in iter_nodes(node):\n",0.014003209
205,"            assert isinstance(child, Node)\n",0.020932459
206,"    rule_types = infer_rule_types(rules)\n",0.05320825
207,"    for ref, rule_type in tqdm(rule_types.items(), desc=""Validating rules""):\n",0.021257791
208,"        firsts = first_refs(rules[ref], get_nullable_rules(rules))\n",0.027249459
209,"        def get_rule_type(ref: Ref, rule_types: dict[Ref, RuleType]) -> RuleType:\n",0.022117166
210,"            # If it's all capitalized, assume it's a token\n",0.004583916
211,"            if ref not in rules:\n",0.00775075
212,"                if ref.name[0].isupper():\n",0.010385167
213,"                    return RuleType.NORMAL\n",0.014506834
214,"            return rule_types[ref]\n",0.035689916
215,"        if rule_type == RuleType.LEFT_RECURSIVE:\n",0.021975584
216,"            if any(get_rule_type(first_ref, rule_types) == RuleType.NULLABLE for first_ref in firsts):\n",0.032014292
217,"                raise ValueError(f""Firsts for left-recursive rule must not be nullable. Found {firsts} for {rules[ref]}"")\n",0.026843916
218,"        elif rule_type == RuleType.NULLABLE:\n",0.034513167
219,"            if any(get_rule_type(first_ref, rule_types) == RuleType.LEFT_RECURSIVE for first_ref in firsts):\n",0.036079875
220,"                raise ValueError(f""Firsts for nullable rule must not be left-recursive. Found {firsts} for {rules[ref]}"")\n",0.03054325
221,"        elif rule_type == RuleType.NORMAL:\n",0.037627
222,"            if any(get_rule_type(first_ref, rule_types) == RuleType.LEFT_RECURSIVE for first_ref in firsts):\n",0.038106792
223,"                raise ValueError(f""Firsts for non-nullable rule must not be left-recursive. Found {firsts} for {rules[ref]}"")\n",0.0338455
224,"        else:\n",0.017550666
225,"            raise ValueError(f""Unknown rule type: {rule_type}"")\n",0.026776292
226,"\n",0.003499917
227,"\n",0.00375225
228,"def resolve_left_recursion_for_rule[T: Node](node: T, ref: Ref, replacements: dict[Ref, Node]) -> Node:\n",0.18681675
229,"    # Resolve indirect left recursion\n",0.008479125
230,"    node.replace_left_refs(replacements)\n",0.028095292
231,"    # Resolve direct left recursion\n",0.005908708
232,"    first, recursive = node.decompose_on_left_recursion(ref)\n",0.026193834
233,"    return seq(choice(first), repeat0(choice(recursive))).simplify()\n",0.03220775
234,"\n",0.001423584
235,"\n",0.001118333
236,"def resolve_left_recursion(rules: dict[Ref, Node]) -> dict[Ref, Node]:\n",0.031645208
237,"    replacements = {}\n",0.013466
238,"    for ref, node in rules.items():\n",0.009509166
239,"        replacements[ref] = resolve_left_recursion_for_rule(node, ref, replacements)\n",0.038603292
240,"    return replacements\n",0.013620292
241,"\n",0.001297084
242,"\n",0.001341541
243,"def intersperse_separator_for_node(node: Node, separator: Node, nullable_rules: set[Ref]) -> Node:\n",0.052040083
244,"    try:\n",0.004586709
245,"        match node:\n",0.007182417
246,"            case Seq([]):\n",0.00257775
247,"                return node\n",0.008769166
248,"            case Seq(children):\n",0.011044667
249,"                # Actually, as long as we have a single non-nullable sequent, we're good.\n",0.003317541
250,"                try:\n",0.005483166
251,"                    i = [is_nullable(child, nullable_rules) for child in children].index(False)\n",0.0354645
252,"                except ValueError as e:\n",0.011862084
253,"                    e.add_note(f""There must be at least one non-nullable sequent in {node}"")\n",0.016680167
254,"                    raise\n",0.014107292
255,"\n",0.0016515
256,"                # Insert a suffix for all children before i, and a prefix for all children after i.\n",0.011146625
257,"                for j, child in enumerate(children):\n",0.037127
258,"                    if j < i:\n",0.007536333
259,"                        children[j] = inject_suffix_on_nonnull_for_node(child, separator, nullable_rules)\n",0.050702292
260,"                    elif j == i:\n",0.022474541
261,"                        children[j] = intersperse_separator_for_node(child, separator, nullable_rules)\n",0.053443625
262,"                    else:\n",0.019115584
263,"                        children[j] = inject_prefix_on_nonnull_for_node(child, separator, nullable_rules)\n",0.052428083
264,"                return seq(*children)\n",0.033829166
265,"\n",0.001113042
266,"            case Choice(children):\n",0.012192458
267,"                return Choice([intersperse_separator_for_node(child, separator, nullable_rules) for child in children])\n",0.049974292
268,"            case Repeat1(child):\n",0.012796041
269,"                return sep1(intersperse_separator_for_node(child, separator, nullable_rules), separator)\n",0.05254375
270,"            case Ref(_) | Term(_) | EpsExternal(_):\n",0.01737725
271,"                return node\n",0.009592291
272,"            case Lookahead(child):\n",0.012903625
273,"                return lookahead(intersperse_separator_for_node(child, separator, nullable_rules))\n",0.048228208
274,"            case _:\n",0.008047417
275,"                raise ValueError(f""Unexpected node: {node}"")\n",0.016320959
276,"    except ValueError as e:\n",0.019981
277,"        e.add_note(f""Error while interspersing separator in {node}"")\n",0.019316667
278,"        raise\n",0.017981417
279,"\n",0.001775417
280,"\n",0.001632458
281,"def inject_prefix_on_nonnull_for_node(node: Node, prefix: Node, nullable_rules: set[Ref]) -> Node:\n",0.093064708
282,"    try:\n",0.005283125
283,"        if not is_nullable(node, nullable_rules):\n",0.020447833
284,"            return seq(prefix, intersperse_separator_for_node(node, prefix, nullable_rules))\n",0.047912167
285,"        match node:\n",0.014969292
286,"            case Choice(children):\n",0.008405875
287,"                return Choice([inject_prefix_on_nonnull_for_node(child, prefix, nullable_rules) for child in children])\n",0.050208791
288,"            case Seq(children):\n",0.013265417
289,"                children = [inject_prefix_on_nonnull_for_node(child, prefix, nullable_rules) for child in children]\n",0.063122666
290,"                return seq(*children)\n",0.015215459
291,"            case EpsExternal(_):\n",0.013868
292,"                return node\n",0.011172333
293,"            case Lookahead(child):\n",0.014446292
294,"                return node\n",0.011239625
295,"            case _:\n",0.0094125
296,"                raise ValueError(f""Unexpected nullable node: {node}"")\n",0.023510875
297,"    except ValueError as e:\n",0.028949959
298,"        e.add_note(f""Error while adding prefix in {node}"")\n",0.0231185
299,"        raise\n",0.019763708
300,"\n",0.001898625
301,"\n",0.001715583
302,"def inject_suffix_on_nonnull_for_node(node: Node, suffix: Node, nullable_rules: set[Ref]) -> Node:\n",0.139605042
303,"    try:\n",0.006441667
304,"        if not is_nullable(node, nullable_rules):\n",0.02390075
305,"            return seq(intersperse_separator_for_node(node, suffix, nullable_rules), suffix)\n",0.055477125
306,"        match node:\n",0.017048041
307,"            case Choice(children):\n",0.009446042
308,"                return Choice([inject_suffix_on_nonnull_for_node(child, suffix, nullable_rules) for child in children])\n",0.059124834
309,"            case Seq(children):\n",0.014879334
310,"                children = [inject_suffix_on_nonnull_for_node(child, suffix, nullable_rules) for child in children]\n",0.072403625
311,"                return seq(*children)\n",0.017270667
312,"            case EpsExternal(_):\n",0.01523675
313,"                return node\n",0.01245225
314,"            case Lookahead(child):\n",0.016141583
315,"                return node\n",0.012398459
316,"            case _:\n",0.011189666
317,"                raise ValueError(f""Unexpected nullable node: {node}"")\n",0.029855
318,"    except ValueError as e:\n",0.0331765
319,"        e.add_note(f""Error while adding suffix in {node}"")\n",0.02893725
320,"        raise\n",0.02429425
321,"\n",0.00237725
322,"def intersperse_separator(rules: dict[Ref, Node], separator: Node) -> dict[Ref, Node]:\n",0.1506265
323,"    nullable_rules = get_nullable_rules(rules)\n",0.029223375
324,"    new_rules = {}\n",0.011927208
325,"    for ref, node in rules.items():\n",0.009530375
326,"        try:\n",0.004771209
327,"            new_rules[ref] = intersperse_separator_for_node(node, separator, nullable_rules).simplify()\n",0.049402208
328,"        except ValueError as e:\n",0.008361084
329,"            e.add_note(f""Error while interspersing separator for rule {prettify_rule(ref, node)}"")\n",0.022055417
330,"            raise\n",0.010396584
331,"    return new_rules\n",0.019176083
332,"\n",0.001095042
333,"\n",0.001295375
334,"def get_firsts_for_node(node: Node, nullable_rules: set[Ref]) -> set[Ref | Term | EpsExternal]:\n",0.036150625
335,"    match node:\n",0.007380416
336,"        case Ref(_):\n",0.003104208
337,"            return {node}\n",0.011676084
338,"        case Term(_):\n",0.008864625
339,"            return {node}\n",0.012152959
340,"        case EpsExternal(_):\n",0.011042583
341,"            return {node}\n",0.012149125
342,"        case Lookahead(child):\n",0.011965125
343,"            return set()\n",0.01069325
344,"        case Seq(children):\n",0.01140575
345,"            result = set()\n",0.011365625
346,"            for child in children:\n",0.012649834
347,"                result.update(get_firsts_for_node(child, nullable_rules))\n",0.045524833
348,"                if not is_nullable(child, nullable_rules):\n",0.025781833
349,"                    break\n",0.009751209
350,"            return result\n",0.026612916
351,"        case Choice(children):\n",0.011639459
352,"            result = set()\n",0.012065458
353,"            for child in children:\n",0.01355175
354,"                result.update(get_firsts_for_node(child, nullable_rules))\n",0.046429291
355,"            return result\n",0.01911325
356,"        case Repeat1(child):\n",0.011183542
357,"            return get_firsts_for_node(child, nullable_rules)\n",0.025790834
358,"        case _:\n",0.007582167
359,"            raise ValueError(f""Unknown node type: {type(node)}"")\n",0.02002775
360,"\n",0.002088875
361,"\n",0.002669916
362,"def get_lasts_for_node(node: Node, nullable_rules: set[Ref]) -> set[Ref | Term | EpsExternal]:\n",0.097887125
363,"    match node:\n",0.007584542
364,"        case Ref(_):\n",0.00345625
365,"            assert isinstance(node, Ref)\n",0.020706083
366,"            return {node}\n",0.013652
367,"        case Term(_):\n",0.01026375
368,"            assert isinstance(node, Term)\n",0.021848125
369,"            return {node}\n",0.013435541
370,"        case EpsExternal(_):\n",0.012225292
371,"            assert isinstance(node, EpsExternal)\n",0.025429875
372,"            return {node}\n",0.013257791
373,"        case Lookahead(child):\n",0.013659666
374,"            return set()\n",0.011655166
375,"        case Seq(children):\n",0.012108084
376,"            result = set()\n",0.012750417
377,"            for child in reversed(children):\n",0.0198745
378,"                result.update(get_lasts_for_node(child, nullable_rules))\n",0.049463584
379,"                if not is_nullable(child, nullable_rules):\n",0.029758084
380,"                    break\n",0.011669333
381,"            return result\n",0.030111958
382,"        case Choice(children):\n",0.014153667
383,"            result = set()\n",0.013017792
384,"            for child in children:\n",0.014458875
385,"                result.update(get_lasts_for_node(child, nullable_rules))\n",0.050619375
386,"            return result\n",0.020383084
387,"        case Repeat1(child):\n",0.012532041
388,"            return get_lasts_for_node(child, nullable_rules)\n",0.028013417
389,"        case _:\n",0.007917292
390,"            raise ValueError(f""Unknown node type: {type(node)}"")\n",0.023107042
391,"\n",0.002420959
392,"\n",0.002364334
393,"def get_definite_lasts_for_node(node: Node, nullable_rules: set[Ref]) -> set[Ref | Term | EpsExternal]:\n",0.116313042
394,"    match node:\n",0.00785225
395,"        case Ref(_):\n",0.003948458
396,"            assert isinstance(node, Ref)\n",0.019936666
397,"            return {node}\n",0.013639334
398,"        case Term(_):\n",0.011488875
399,"            assert isinstance(node, Term)\n",0.025519083
400,"            return {node}\n",0.015844708
401,"        case EpsExternal(_):\n",0.0140025
402,"            assert isinstance(node, EpsExternal)\n",0.029284833
403,"            return {node}\n",0.015243959
404,"        case Lookahead(child):\n",0.015120958
405,"            return set()\n",0.013405041
406,"        case Seq(children):\n",0.014650958
407,"            result = set()\n",0.014872792
408,"            for child in reversed(children):\n",0.023077291
409,"                result.update(get_lasts_for_node(child, nullable_rules))\n",0.054850083
410,"                if not is_nullable(child, nullable_rules):\n",0.033602583
411,"                    break\n",0.012695958
412,"            return result\n",0.029840416
413,"        case Choice(children):\n",0.015390917
414,"            result = set()\n",0.0156735
415,"            for child in children:\n",0.017588583
416,"                result.update(get_lasts_for_node(child, nullable_rules))\n",0.052905167
417,"            return result\n",0.021885708
418,"        case Repeat1(child):\n",0.014501125
419,"            return get_lasts_for_node(child, nullable_rules)\n",0.031298667
420,"        case _:\n",0.008684708
421,"            raise ValueError(f""Unknown node type: {type(node)}"")\n",0.025846542
422,"\n",0.002379333
423,"\n",0.002383958
424,"def get_firsts2(rules: dict[Ref, Node]) -> dict[Ref, set[Ref | Term | EpsExternal]]:\n",0.083623167
425,"    firsts: dict[Ref, set[Ref | Term | EpsExternal]] = {}\n",0.019973291
426,"    nullable_rules = get_nullable_rules(rules)\n",0.01710875
427,"    for ref, node in tqdm(rules.items(), desc=""Computing firsts""):\n",0.013978583
428,"        firsts[ref] = get_firsts_for_node(node, nullable_rules)\n",0.031524042
429,"    # Substitute firsts for refs repeatedly until there are no more changes\n",0.003290417
430,"    while True:\n",0.011555541
431,"        old_firsts = firsts.copy()\n",0.014714083
432,"        for ref in firsts:\n",0.008180125
433,"            for first in list(firsts[ref]):\n",0.01440525
434,"                if first in firsts:\n",0.007743167
435,"                    firsts[ref].update(firsts[first])\n",0.029935583
436,"        if not update_dict(firsts, old_firsts):\n",0.05507325
437,"            break\n",0.007151708
438,"    return firsts\n",0.017515708
439,"\n",0.001018833
440,"\n",0.001307
441,"def get_lasts(rules: dict[Ref, Node]) -> dict[Ref, set[Ref | Term | EpsExternal]]:\n",0.029133167
442,"    lasts: dict[Ref, set[Ref | Term | EpsExternal]] = {}\n",0.013683875
443,"    nullable_rules = get_nullable_rules(rules)\n",0.017214208
444,"    for ref, node in tqdm(rules.items(), desc=""Computing lasts""):\n",0.013520458
445,"        lasts[ref] = get_lasts_for_node(node, nullable_rules)\n",0.026937792
446,"    # Substitute lasts for refs repeatedly\n",0.002846708
447,"    while True:\n",0.01063725
448,"        old_lasts = lasts.copy()\n",0.012473875
449,"        for ref in lasts:\n",0.007801583
450,"            for last in list(lasts[ref]):\n",0.013809083
451,"                if last in lasts:\n",0.0074105
452,"                    lasts[ref].update(lasts[last])\n",0.027224041
453,"        if not update_dict(lasts, old_lasts):\n",0.054017333
454,"            break\n",0.007114167
455,"    return lasts\n",0.016264958
456,"\n",0.001123208
457,"\n",0.000975875
458,"def collect_follows_for_node(node: Node, nullable_rules: set[Ref]) -> dict[Ref | Term | EpsExternal, set[Ref | Term | EpsExternal]]:\n",0.042638958
459,"    match node:\n",0.006424875
460,"        case Ref(_):\n",0.00239375
461,"            return {}\n",0.007821541
462,"        case Term(_):\n",0.007308041
463,"            return {}\n",0.007920416
464,"        case EpsExternal(_):\n",0.00881125
465,"            return {}\n",0.007793666
466,"        case Lookahead(child):\n",0.009952042
467,"            return {}\n",0.008075708
468,"        case Seq(children):\n",0.009358209
469,"            result: dict[Ref | Term | EpsExternal, set[Ref | Term | EpsExternal]] = {}\n",0.020788166
470,"            for i, child in enumerate(children):\n",0.016334083
471,"                lasts_for_child = get_lasts_for_node(child, nullable_rules)\n",0.033957625
472,"                rest = Seq(children[i + 1:])\n",0.018460458
473,"                firsts_for_rest = get_firsts_for_node(rest, nullable_rules)\n",0.035914625
474,"                for last in lasts_for_child:\n",0.016004167
475,"                    result.setdefault(last, set()).update(firsts_for_rest)\n",0.042743291
476,"            return result\n",0.02433275
477,"        case Choice(children):\n",0.009769458
478,"            result: dict[Ref | Term | EpsExternal, set[Ref | Term | EpsExternal]] = {}\n",0.020218834
479,"            for child in children:\n",0.010227666
480,"                result.update(collect_follows_for_node(child, nullable_rules))\n",0.043110292
481,"            return result\n",0.016400792
482,"        case Repeat1(child):\n",0.009190791
483,"            lasts = get_lasts_for_node(child, nullable_rules)\n",0.023385459
484,"            firsts = get_firsts_for_node(child, nullable_rules)\n",0.024968958
485,"            result: dict[Ref | Term | EpsExternal, set[Ref | Term | EpsExternal]] = {}\n",0.0205675
486,"            for last in lasts:\n",0.009028583
487,"                result[last] = firsts\n",0.018325375
488,"            return result\n",0.016413125
489,"        case _:\n",0.00613575
490,"            raise ValueError(f""Unknown node type: {type(node)}"")\n",0.014523292
491,"\n",0.001736291
492,"\n",0.001548208
493,"def gather_all_leaves(rules: dict[Ref, Node]) -> set[Ref | Term | EpsExternal]:\n",0.038646084
494,"    result = set()\n",0.008299708
495,"    for ref, node in rules.items():\n",0.010122708
496,"        result.add(ref)\n",0.012175417
497,"        result.update(x for x in iter_nodes(node) if isinstance(x, Ref | Term | EpsExternal))\n",0.030316042
498,"    return result\n",0.012319708
499,"\n",0.001093667
500,"\n",0.000985334
501,"def get_follows(rules: dict[Ref, Node]) -> dict[Ref | Term | EpsExternal, set[Ref | Term | EpsExternal]]:\n",0.035601
502,"    follow_sets: dict[Ref, set[Ref | Term | EpsExternal]] = {}\n",0.018012583
503,"    nullable_rules = get_nullable_rules(rules)\n",0.017002042
504,"    for ref, node in rules.items():\n",0.009266042
505,"        for leaf, follow_set in collect_follows_for_node(node, nullable_rules).items():\n",0.027965
506,"            follow_sets.setdefault(leaf, set()).update(follow_set)\n",0.033802917
507,"    firsts_for_node = {}\n",0.032364083
508,"    for ref, node in rules.items():\n",0.009325666
509,"        firsts_for_node[ref] = get_firsts_for_node(node, nullable_rules)\n",0.034687375
510,"    for leaf in gather_all_leaves(rules):\n",0.02253375
511,"        follow_sets.setdefault(leaf, set())\n",0.021019166
512,"        firsts_for_node.setdefault(leaf, set())\n",0.025904583
513,"    # Substitute follow sets for refs repeatedly\n",0.002903625
514,"    while True:\n",0.010375583
515,"        updated = False\n",0.009403417
516,"        for ref, follow_set in follow_sets.items():\n",0.014813125
517,"            queue = list(follow_set)\n",0.015950875
518,"            while len(queue) > 0:\n",0.012339083
519,"                node = queue.pop()\n",0.011465625
520,"                if isinstance(node, Ref) and node in rules:\n",0.02315275
521,"                    firsts = firsts_for_node[node]\n",0.022200375
522,"                    new_follows = firsts - follow_set\n",0.026433959
523,"                    queue.extend(new_follows)\n",0.030687916
524,"                    updated |= update_set(follow_set, new_follows)\n",0.031553291
525,"        for ref, node in rules.items():\n",0.044948041
526,"            # The follow set of a rule should inherit the follow set of its lasts and vice versa\n",0.003799917
527,"            lasts_for_rule = get_lasts_for_node(node, nullable_rules)\n",0.029856208
528,"            for last in lasts_for_rule:\n",0.013904125
529,"                updated |= update_set(follow_sets[last], follow_sets[ref])\n",0.025558333
530,"                updated |= update_set(follow_sets[ref], follow_sets[last])\n",0.031031
531,"        if not updated:\n",0.019191542
532,"            break\n",0.007349917
533,"    return follow_sets\n",0.021152917
534,"\n",0.001194666
535,"\n",0.00116875
536,"def map_left(node: Node, f: Callable[[Node], Node], nullable_rules: set[Ref]) -> Node:\n",0.0354405
537,"    node = f(node)\n",0.0080495
538,"    match node:\n",0.005123625
539,"        case Seq(children):\n",0.004210542
540,"            children = children.copy()\n",0.013752625
541,"            for i, child in enumerate(children):\n",0.016232833
542,"                children[i] = map_left(child, f, nullable_rules)\n",0.027319417
543,"                if not is_nullable(child, nullable_rules):\n",0.02243675
544,"                    break\n",0.0081365
545,"            return Seq(children)\n",0.03460875
546,"        case Choice(children):\n",0.009644541
547,"            return Choice([map_left(child, f, nullable_rules) for child in children])\n",0.02451125
548,"        case Repeat1(child):\n",0.009122208
549,"            return Repeat1(map_left(child, f, nullable_rules))\n",0.02251325
550,"        case _:\n",0.006191416
551,"            return node\n",0.008255709
552,"\n",0.001509041
553,"\n",0.001541667
554,"def map_all_for_node(node: Node, f: Callable[[Node], Node]) -> Node:\n",0.033808333
555,"    match node:\n",0.00642425
556,"        case Seq(children):\n",0.004432333
